matchId,track,casePostId,controlPostId,creatorId,matchGrade,dateGapDays,caseLogLift,controlLogLift,outcomeDelta,caseReferenceIds
MB-b25465734be7,B,LI-7460295282996649984,LI-7477328770991955968,https://www.linkedin.com/in/jaindl,AH2,47,0.4572,0.0395,0.4177,50
MB-3ac6dcf82d90,B,LI-7459540348030287872,LI-7464914528934428672,https://www.linkedin.com/in/adam-smiarowski,AH1,14.8,1.5983,0.5436,1.0546,51
MB-39bc303803b3,B,LI-7459540348030287872,LI-7465729128818814976,https://www.linkedin.com/in/adam-smiarowski,AH1,17.1,1.5983,0.4055,1.1928,51
MB-a80923b4c278,B,LI-7459932907940536321,LI-7475153688756518912,https://www.linkedin.com/in/jaindl,AH1,42,0.6826,-0.2743,0.9569,57
MB-30ac373a830f,B,LI-7459932907940536321,LI-7481313779599835137,https://www.linkedin.com/in/jaindl,AH1,59,0.6826,-0.2337,0.9163,57
MB-10e9f6036511,B,LI-7459573119217782785,LI-7469719993027375104,https://www.linkedin.com/in/vandeputnicolas,AH2,28,1.365,0.2446,1.1204,59
MB-867fa1ee829f,B,LI-7455232999509430273,LI-7482773569295425538,https://www.linkedin.com/in/nicolascole,AH1,76,2.1819,2.0743,0.1076,60
MB-f6c450f65cf3,B,LI-7457024996649885697,LI-7480667477677477889,https://www.linkedin.com/in/agnieszka-kamila-van-der-veen-mba-8943266b,AH2,65.2,2.5475,-0.0206,2.5681,65
MB-53ef45dd1db8,B,LI-7457024996649885697,LI-7482883505996165120,https://www.linkedin.com/in/agnieszka-kamila-van-der-veen-mba-8943266b,AH2,71.4,2.5475,-0.1542,2.7017,65
MB-63662c984333,B,LI-7453019851943587840,LI-7478387311614025728,https://www.linkedin.com/in/charlie-hills,AH1,70,0.4257,0.51,-0.0843,72
MB-9cabce2a48ff,B,LI-7453019851943587840,LI-7478749906967408640,https://www.linkedin.com/in/charlie-hills,AH1,71,0.4257,0.2532,0.1725,72
MB-1e3a1f620aa7,B,LI-7453047525629980672,LI-7476240349116588032,https://www.linkedin.com/in/jaindl,AH1,64,0.7444,-0.2836,1.028,75
MB-0076ed9d0aaa,B,LI-7433021723471601664,LI-7462374005069463552,https://www.linkedin.com/in/alper-ozel-723ab511,AH1,81,0.5741,-0.6538,1.2279,76
MB-00e56d8c1a9f,B,LI-7451961814654881793,LI-7478416284934807552,https://www.linkedin.com/in/donnellychris,AH1,73,0.7983,0.0175,0.7808,78
MB-928ac36bb890,B,LI-7455209344322768896,LI-7453397387454144513,https://www.linkedin.com/in/giovanni-beggiato,AH1,5,0.7775,-0.4644,1.2419,80
MB-d586a08811f8,B,LI-7455209344322768896,LI-7452672643989745664,https://www.linkedin.com/in/giovanni-beggiato,AH1,7,0.7775,0.0083,0.7691,80
MB-a3e6723c30bc,B,LI-7449803669014945793,LI-7444280191310336001,https://www.linkedin.com/in/jigar-patel-96b4286b,AH1,15.2,2.4863,0.8961,1.5902,82
MB-e2717aa65dd0,B,LI-7449803669014945793,LI-7459950557387210752,https://www.linkedin.com/in/jigar-patel-96b4286b,AH1,28,2.4863,-0.8755,3.3618,82
MB-439e91ac692a,B,LI-7450877132563558400,LI-7440798298162085888,https://www.linkedin.com/in/anguscraigfcips,AH1,27.8,3.0123,-0.8109,3.8232,84
MB-3aeb892c444e,B,LI-7450877132563558400,LI-7437971876179755008,https://www.linkedin.com/in/anguscraigfcips,AH1,35.6,3.0123,0.636,2.3763,84
MB-f59af2a5204b,B,LI-7450452978395840512,LI-7472196263493574656,https://www.linkedin.com/in/edouardthieuleux,AH1,60,2.2747,1.274,1.0007,85
MB-7f7b0bc1aba8,B,LI-7449046219600982016,LI-7473976919236083712,https://www.linkedin.com/in/ronalinlagsa,AH1,68.8,1.9916,-0.1892,2.1809,89
MB-8f28005ae766,B,LI-7447282183183962113,LI-7473351334499385347,https://www.linkedin.com/in/harrymckaig,AH1,71.9,5.9263,1.4781,4.4482,92
MB-3b5fa34d3d60,B,LI-7447282183183962113,LI-7479866799052988416,https://www.linkedin.com/in/harrymckaig,AH1,89.9,5.9263,-0.4855,6.4118,92
MB-c4a96612677c,B,LI-7447623181395484672,LI-7482773569295425538,https://www.linkedin.com/in/nicolascole,AH1,97,3.0445,2.0743,0.9702,93
MB-aa688ca61ace,B,LI-7446894707063902208,LI-7478058076906885121,https://www.linkedin.com/in/marciadwilliams,AH2,86,0.1675,1.3336,-1.166,94
MB-c3f10c11e3b4,B,LI-7446894707063902208,LI-7479145240189218816,https://www.linkedin.com/in/marciadwilliams,AH2,89,0.1675,1.0909,-0.9234,94
MB-a80a164082bd,B,LI-7447320076212412416,LI-7448065592160313345,https://www.linkedin.com/in/benjamintwillis,AH3,2.1,3.1398,-0.7985,3.9383,95
MB-d45394d49f61,B,LI-7447320076212412416,LI-7439697047596810241,https://www.linkedin.com/in/benjamintwillis,AH3,21,3.1398,0.8755,2.2644,95
